timecode data
3.80619 0
3.80636 1
3.80645 0
3.80654 1
3.80671 0
3.80682 1
3.80695 0
3.80732 1
3.80756 0
3.80796 1
3.80814 0
3.80832 1
3.80853 0
3.80875 1
3.80895 0
3.80912 1
3.80915 0
3.80932 0
3.80934 0
3.80955 1
3.80986 0
3.8099 1
3.81007 0
3.81027 1
3.81035 0
3.81054 1
3.81076 0
3.81099 1
3.8112 0
3.8114 0
3.81143 0
3.81176 0
3.81178 0
3.81212 1
3.81229 0
3.81245 1
3.81256 0
3.81277 1
3.81287 0
3.81315 1
3.81325 0
3.81384 1
3.81403 0
3.81421 1
3.81459 0
3.81507 1
3.8152 0
3.81531 1
3.81551 0
3.81561 1
3.81572 0
3.8159 1
3.81599 0
3.81637 1
3.81649 0
3.81668 1
3.81698 0
3.8171 1
3.81719 0
3.81729 1
3.81738 0
3.81757 1
3.81767 0
3.81774 1
3.81783 0
3.81801 1
3.81812 0
3.81829 1
3.81839 0
3.81873 1
3.81892 0
3.81943 1
3.8197 0
3.8198 1
3.81992 0
3.82001 1
3.8201 0
3.8207 1
3.82077 0
3.82116 1
3.82125 0
3.82174 1
3.82194 0
3.82213 1
3.82224 0
3.82245 1
3.82254 0
3.82273 1
3.82282 0
3.82291 1
3.82317 0
3.82363 1
3.82383 0
3.8243 1
3.82443 0
3.82458 1
3.82474 0
3.82505 1
3.82518 0
3.82538 1
3.82557 0
3.82567 1
3.82577 0
3.82587 1
3.82616 0
3.82643 1
3.82654 0
3.82664 1
3.82675 0
3.82693 1
3.82712 0
3.82751 1
3.8276 0
3.82783 1
3.82793 0
3.82803 1
3.82812 0
3.82822 1
3.82836 0
3.82866 1
3.82883 0
3.82903 1
3.82915 0
3.82933 1
3.82942 0
3.82951 1
3.8296 0
3.82989 1
3.82998 0
3.83009 1
3.83037 0
3.83048 1
3.83067 0
3.8313 1
3.83156 0
3.83177 1
3.83198 0
3.83225 1
3.83243 0
3.83262 1
3.83271 0
3.83322 1
3.8333 0
3.83346 1
3.83356 0
3.83382 1
3.83391 0
3.83412 1
3.83452 0
3.83461 1
3.8347 0
3.835 1
3.8352 0
3.83561 1
3.83569 0
3.83578 1
3.83596 0
3.83607 1
3.83628 0
3.83684 1
3.83696 0
3.83714 1
3.83734 0
3.83746 1
3.83761 0
3.83846 1
3.83854 0
3.83863 1
3.83874 0
3.83885 1
3.83896 0
3.83906 1
3.83936 0
3.83947 1
3.83955 0
3.83986 1
3.84005 0
3.84014 1
3.84042 0
3.84059 1
3.8407 0
3.84081 1
3.84098 0
3.84117 1
3.84126 0
3.84136 1
3.84145 0
3.84156 1
3.84175 0
3.84203 1
3.84212 0
3.84253 1
3.84263 0
3.84272 1
3.84282 0
3.84326 1
3.84334 0
3.84354 1
3.84372 0
3.84383 1
3.84393 0
3.84404 1
3.84414 0
3.84433 1
3.84442 0
3.84468 1
3.84496 0
3.84613 1
3.84625 0
3.84682 1
3.84701 0
3.84736 1
3.84745 0
3.84765 1
3.84775 0
3.84804 1
3.84813 0
3.84832 1
3.84853 0
3.84872 1
3.84881 0
3.8491 1
3.84922 0
3.84938 1
3.84968 0
3.84985 1
3.84995 0
3.85036 1
3.85046 0
3.85066 1
3.85077 0
3.85096 1
3.85109 0
3.85118 1
3.85127 0
3.85137 1
3.85147 0
3.85174 1
3.85186 0
3.85238 1
3.8525 0
3.85268 1
3.8529 0
3.85301 1
3.8531 0
3.85319 1
3.85332 0
3.85342 1
3.85352 0
3.85384 1
3.85402 0
3.85412 1
3.85421 0
3.8545 1
3.85468 0
3.85477 1
3.85488 0
3.85508 1
3.85527 0
3.85536 1
3.85546 0
3.85566 1
3.85585 0
3.85596 1
3.85606 0
3.85616 1
3.85626 0
3.85645 1
3.85654 0
3.85673 1
3.85703 0
3.85772 1
3.8578 0
3.85802 1
3.85825 0
3.85853 1
3.85863 0
3.85881 1
3.85891 0
3.85907 1
3.85928 0
3.85949 1
3.85976 0
3.86022 1
3.86046 0
3.86055 1
3.86066 0
3.86083 1
3.86113 0
3.86164 1
3.86175 0
3.86203 1
3.86214 0
3.86234 1
3.86243 0
3.86252 1
3.86264 0
3.863 1
3.86309 0
3.86328 1
3.86346 0
3.86356 1
3.86366 0
3.86376 1
3.86386 0
3.86423 1
3.86432 0
3.86441 1
3.86459 0
3.86525 1
3.86563 0
3.86619 1
3.86648 0
3.86658 1
3.86686 0
3.86755 1
3.86765 0
3.86776 1
3.86785 0
3.86803 1
3.86811 0
3.86821 1
3.86831 0
3.86891 1
3.8692 0
3.86933 1
3.86943 0
3.86983 1
3.86992 0
3.87041 1
3.87052 0
3.87079 1
3.87108 0
3.87151 1
3.8717 0
3.8718 1
3.87189 0
3.87206 1
3.87226 0
3.87267 1
3.87285 0
3.87325 1
3.87334 0
3.87362 1
3.87381 0
3.87417 1
3.87433 0
3.87443 1
3.87462 0
3.8749 1
3.87499 0
3.87509 1
3.87526 0
3.87625 1
3.87636 0
3.87654 1
3.87673 0
3.87712 1
3.87724 0
3.87736 1
3.87747 0
3.87756 1
3.87765 0
3.87776 1
3.87785 0
3.87805 1
3.87823 0
3.87851 1
3.87882 0
3.87893 1
3.87913 0
3.87932 1
3.87943 0
3.87984 1
3.88014 0
3.88034 1
3.88043 0
3.88071 1
3.88088 0
3.88108 1
3.88119 0
3.88147 1
3.88167 0
3.88176 1
3.88186 0
3.88196 1
3.88207 0
3.88233 1
3.88253 0
3.88278 1
3.88296 0
3.88307 1
3.88328 0
3.88337 1
3.88346 0
3.88375 1
3.88415 0
3.88443 1
3.88468 0
3.88499 1
3.88517 0
3.88528 1
3.88538 0
3.88575 1
3.88596 0
3.88633 1
3.88643 0
3.88653 1
3.88662 0
3.88674 1
3.88685 0
3.88712 1
3.88723 0
3.88734 1
3.88744 0
3.88767 1
3.88788 0
3.88798 1
3.88807 0
3.88826 1
3.88837 0
